names,Politicians,Gender
Gretchen Carlson,Antoinette Sandbach,Female
Douglas Wigdor,Edward Vaizey,Male
Ainsley Earhardt,Winston Churchill,Male
Shannon Bream,Inger Stojberg,Female
Bernie Sander,Adam Laxalt,Male
White Supremacist,Sarah Palin,Female
Cory Booker,Alex Acosta,Male
Ralph Ellison,Michael Bennet,Male
Jamira Burley,Sherrod Brown,Male
Andrea James,Charles Michel,Male
Ariana Grande,Tedros Adhanom,Male
Oliver Jones,Irene Montero,Female
Andy Holey,Sebastian Kurz,Male
Emma Johnson,Chris Christie,Male
Paul Dryhurst,Joe Lhota,Male
Claire Booth,Franklin Roosevelt,Male
Kelly Brewster,Barbara Buono,Female
Aj Singh,Arlen Specter,Male
Stuart Aspinall,Tish James,Female
Martyn Hett,Kshama Sawant,Female
Hayley Lunt,Charles Hynes,Male
Richard Leese,David Bossie,Male
Adam Sharp,Matt Schlapp,Male
Jules Boyle,Stephanie Grisham,Female
Salman Ramadan,Steve Scalise,Male
Stillbright Sun,Michael Steele,Male
Jeremy Corbyn,Condoleezza Rice,Female
Tim Farron,Tim Scott,Male
Lu Bowen,Joni Ernst,Female
Julian Assange,Larry Kudlow,Male
Robert Mueller,Geng Shuang,Male
Yulia Skripal,Cheryl Mills,Female
Rafael Correa,Prince Salman,Male
Melinda Taylor,Jennifer Palmieri,Female
Vijay Prashad,Ben Carpenter,Male
Ted Cruz,Adriano Espaillat,Male
Medea Benjamin,John Yarmuth,Male
Keith Ellison,Bob Corker,Male
Martin Luther,Brad Sherman,Male
Tanehisi Coates,Dean Skelos,Male
Jeff Bezos,Antonin Scalia,Male
Liz Wolfe,Deval Patrick,Male
John Mclaughry,Noah Purcell,Male
Karl Marx,Jake Sullivan,Male
Candice Dixon,Jawaharlal Nehru,Male
Neil Dutta,Kevin Hern,Male
Roy Moore,Lucy Koh,Female
Doug Jones,Chris Murphy,Male
Abraham Lincoln,Tammy Baldwin,Female
Tom Perez,Dianne Feinstein,Female
Fareed Zakaria,John Cornyn,Male
Michael Hobbe,Patrick Toomey,Male
Raeford Brown,Rick Perry,Male
Scott Gottlieb,Lupe Valdez,Female
Joe Manchin,Greg Abbott,Male
Bob Rappaport,Sylvia Garcia,Female
Chris Mcgreal,Veronica Escobar,Female
John Nichols,John Culberson,Male
Heather Heyer,Robert Cushing,Male
Rebecca Solnit,Jerry Brown,Male
Tom Werner,Harry Truman,Male
Jeff Flake,David Packard,Male
Adam Kinzinger,Jeb Bush,Male
Phil Scott,Barbara Boxer,Female
Charlie Baker,Jim Himes,Male
Mark Amodei,Dana Sabraw,Male
Bill Weld,Robert Malley,Male
Derek Thompson,Kirstjen Nielsen,Female
Jay Bhattacharya,Debbie Wasserman,Female
Robert Lighthizer,Ivanka Trump,Female
Washingtonbased Peterson,Ron Klein,Male
Scott Paul,Madeleine Albright,Female
James Knightley,Barbara Bush,Female
William Wemyss,Ed Lee,Male
Peter Navarro,Jacinda Ardern,Female
David Weisburd,Jim Jordan,Male
George Mason,Hogan Gidley,Male
Delmar Boulevard,Richard Neal,Male
Lauren Krivo,Phil Gramm,Male
Rudy Giuliani,Bin Laden,Male
Anthony Weiner,Margaret Thatcher,Female
Huma Abedin,Marie Yovanovitch,Female
Chuck Grassley,Frank Bainimarama,Male
Victoria Woodhull,Panos Kammenos,Male
Tessa Stuart,Brian Deese,Male
Michelle Cottle,Marty Walsh,Male
Pete Hegseth,Eric Garcetti,Male
Lena Sclove,Kishan Reddy,Male
Wagatwe Wanjuki,Nityanand Rai,Male
Ssorry Iit,Uddhav Thackeray,Male
Ilhan Omar,Mamata Banerjee,Female
Bret Bai,Sambit Patra,Male
Martha Maccallum,John Dingell,Male
Angelo Carusone,Shirley Weber,Female
Tucker Carlson,Thurgood Marshall,Male
Jeanine Pirro,Nitin Patel,Male
Marianne Gambelli,Dave Bing,Male
